hour_of_day,avg_temp
0,23.168222222222226
1,24.81594594594595
2,24.220000000000002
3,25.763529411764704
4,24.97681818181819
5,24.959999999999997
6,24.606250000000003
7,23.946000000000005
8,23.060000000000002
9,25.677714285714288
10,25.016578947368423
11,24.524500000000003
12,26.492105263157892
13,24.542162162162164
14,23.46346153846154
15,23.64173076923076
16,25.93040816326531
17,24.476999999999993
18,24.36052631578947
19,26.386136363636364
20,25.952142857142853
21,25.376956521739128
22,23.894705882352945
23,25.58909090909092
